CURRENT_DAY;ANIMAL_COUNT;PLANT_COUNT;FREE_FIELDS_COUNT;AVERAGE_ENERGY;MOST_POPULAR_GENOTYPE;AVERAGE_LIFESPAN;AVERAGE_CHILDREN
0;0;0;0;0.000000.2;[];0.000000.2;0.000000.2
1;48;20;87;13.854167.2;[6, 0, 0, 4, 5, 3, 5];0.000000.2;0.125000.2
2;54;23;86;11.796296.2;[4, 4, 3, 4, 3, 7, 1];0.000000.2;0.333333.2
3;58;24;83;10.568966.2;[4, 4, 3, 4, 3, 7, 1];0.000000.2;0.448276.2
4;59;25;77;9.915254.2;[4, 4, 3, 4, 3, 7, 1];0.000000.2;0.474576.2
5;61;25;75;9.196721.2;[4, 4, 3, 4, 3, 7, 1];0.000000.2;0.524590.2
6;45;24;83;12.400000.2;[4, 4, 3, 4, 3, 7, 1];6.000000.2;0.400000.2
7;47;24;86;11.659574.2;[4, 4, 3, 4, 3, 7, 1];6.000000.2;0.468085.2
8;49;25;80;10.857143.2;[4, 4, 3, 4, 3, 7, 1];6.052632.2;0.530612.2
9;50;21;83;10.760000.2;[4, 4, 3, 4, 3, 7, 1];6.052632.2;0.560000.2
10;50;23;77;10.260000.2;[4, 4, 3, 4, 3, 7, 1];6.052632.2;0.560000.2
11;47;24;84;10.595745.2;[4, 4, 3, 4, 3, 7, 1];7.083333.2;0.574468.2
12;46;26;82;10.391304.2;[4, 4, 3, 4, 3, 7, 1];7.461538.2;0.586957.2
